"permission_group_id:lookup_permission_group()"|"permission_subgroup_id:lookup_permission_group()"
"haii-thaiwater30.CimSystem2Thailand Test II"|"haii-thaiwater30.shopping"
"haii-thaiwater30.ทดสอบ"|"haii-thaiwater30.agc.agency"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.dsr.data_service_to_agency"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.dsr.data_service_upload_result"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_log_sink_method_type"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_mail"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_method"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_mgmt_email_sever"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_notification"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_subtype"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_target"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.event_type"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.evmgmt.sink_condition"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.agency"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.backoffice.method"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.category"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.data_format"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.department"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.frequency"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.hydroinfo"
"haii-thaiwater30.Coordinator Group"|"haii-thaiwater30.backoffice.metadata.metadata"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.metadata.metadata"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.metadata.metadata_status"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.metadata.ministry"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.metadata.service_method"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.แสดงผลข้อมูล"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.agency"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.data_integration.mgmt_script"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.data_integration.mgmt_script_rain"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.apis.key_access_mgmt"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.apis.monitor"
"haii-thaiwater30.Admin"|"haii-thaiwater30.bof.apis"
"haii-thaiwater30.Admin"|"haii-thaiwater30.bof.dba"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dba.delete_data"
"haii-thaiwater30.Admin"|"haii-thaiwater30.bof.metadata"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.agency"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.category"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.data_format"
"haii-thaiwater30.Admin"|"haii-thaiwater30.TEST2"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.apis.monitor_api_service"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.evmgmt.event_subtype"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.evmgmt.event_target"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.evmgmt.event_type"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.evmgmt.sink_condition"
"haii-thaiwater30.Admin"|"haii-thaiwater30.Event_Management"
"haii-thaiwater30.Admin"|"haii-thaiwater30.agc.agency"
"haii-thaiwater30.Admin"|"haii-thaiwater30.bof.tools"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.tools.mgmt_cache"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.tools.check_image"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.tools.ignore_data"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.tools.mgmt_display"
"haii-thaiwater30.Admin"|"haii-thaiwater30.agency.agency_shopping"
"haii-thaiwater30.Admin"|"haii-thaiwater30.realm.systemreport"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.backoffice.method"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.category"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.data_format"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.department"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.frequency"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.hydroinfo"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.metadata"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.metadata_status"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.ministry"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.service_method"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.subcat"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.summary_meta"
"haii-thaiwater30.Metadata"|"haii-thaiwater30.backoffice.metadata.unit"
"haii-thaiwater30.Admin"|"haii-thaiwater30.realm.data_service"
"haii-thaiwater30.Admin"|"haii-thaiwater30.uac.user_setting"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.hydroinfo"
"haii-thaiwater30.Admin"|"haii-thaiwater30.uac"
"haii-thaiwater30.Data Service System"|"haii-thaiwater30.data_service"
"haii-thaiwater30.Data Service System"|"haii-thaiwater30.data_service.history"
"haii-thaiwater30.Admin"|"haii-thaiwater30.realm.analyst"
"haii-thaiwater30.Admin"|"haii-thaiwater30.agency.agency_summary"
"haii-thaiwater30.Event Management"|"haii-thaiwater30.backoffice.evmgmt.event_type"
"haii-thaiwater30.Event Management"|"haii-thaiwater30.backoffice.evmgmt.event_subtype"
"haii-thaiwater30.Event Management"|"haii-thaiwater30.backoffice.evmgmt.event_method"
"haii-thaiwater30.Event Management"|"haii-thaiwater30.backoffice.evmgmt.event_notification"
"haii-thaiwater30.Event Management"|"haii-thaiwater30.backoffice.evmgmt.event_log_sink_method_type"
"haii-thaiwater30.Event Management"|"haii-thaiwater30.backoffice.evmgmt.event_mgmt_email_sever"
"haii-thaiwater30.Event Management"|"haii-thaiwater30.backoffice.evmgmt.event_target"
"haii-thaiwater30.Event Management"|"haii-thaiwater30.backoffice.evmgmt.event_mail"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dmgmt.check_metadata"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dmgmt.error_data"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dba.manage_partition"
"haii-thaiwater30.Admin"|"haii-thaiwater30.realm.agency"
"haii-thaiwater30.Admin"|"haii-thaiwater30.แสดงผลข้อมูล"
"haii-thaiwater30.Admin"|"haii-thaiwater30.Data_menagement"
"haii-thaiwater30.Admin"|"haii-thaiwater30.uac.management_system"
"haii-thaiwater30.Admin"|"haii-thaiwater30.uac.user"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.unit"
"haii-thaiwater30.Admin"|"haii-thaiwater30.realm.backoffice"
"haii-thaiwater30.Admin"|"haii-thaiwater30.realm.uac"
"haii-thaiwater30.Admin"|"haii-thaiwater30.bof.data_management"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dmgmt.check_data_error"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dmgmt.check_latest_data"
"haii-thaiwater30.Admin"|"haii-thaiwater30.bof.data_integration_report"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.data_integration.hi_script"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.data_integration.hi_script_rain"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.data_integration.mgmt_conv"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.data_integration.mgmt_conv_rain"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.data_integration.mgmt_metadata"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.data_integration.mgmt_metadata_rain"
"haii-thaiwater30.Admin"|"haii-thaiwater30.bof.data_service_register"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dsr.data_service_approve"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dsr.data_service_management"
"haii-thaiwater30.Admin"|"haii-thaiwater30.data_service"
"haii-thaiwater30.Admin"|"haii-thaiwater30.data_service.history"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dmgmt.record_data"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dmgmt.record_error_data"
"haii-thaiwater30.DBA"|"haii-thaiwater30.backoffice.dba.delete_data"
"haii-thaiwater30.DBA"|"haii-thaiwater30.backoffice.dba.manage_partition"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.agc.agency"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.agency.agency_shopping"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.agency.agency_summary"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.apis.key_access_mgmt"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.apis.monitor"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.apis.monitor_api_service"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.data_integration.hi_script"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.data_integration.hi_script_rain"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.data_integration.mgmt_conv"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.data_integration.mgmt_conv_rain"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.data_integration.mgmt_metadata"
"haii-thaiwater30.Data Management"|"haii-thaiwater30.backoffice.dmgmt.monitor_data"
"haii-thaiwater30.Data Management"|"haii-thaiwater30.backoffice.dmgmt.record_data"
"haii-thaiwater30.Data Management"|"haii-thaiwater30.backoffice.dmgmt.error_data"
"haii-thaiwater30.Data Management"|"haii-thaiwater30.backoffice.dmgmt.record_error_data"
"haii-thaiwater30.Data Management"|"haii-thaiwater30.backoffice.dmgmt.mon_error_dgmt"
"haii-thaiwater30.Data Management"|"haii-thaiwater30.backoffice.dmgmt.import_data"
"haii-thaiwater30.Data Management"|"haii-thaiwater30.backoffice.dmgmt.check_metadata"
"haii-thaiwater30.Data Management"|"haii-thaiwater30.backoffice.dmgmt.check_data_error"
"haii-thaiwater30.Data Management"|"haii-thaiwater30.backoffice.dmgmt.check_latest_data"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dmgmt.import_data"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dmgmt.mon_error_dgmt"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dmgmt.monitor_data"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.metadata"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.metadata_status"
"haii-thaiwater30.Admin"|"haii-thaiwater30.shopping"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.backoffice.method"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.ministry"
"haii-thaiwater30.APIs"|"haii-thaiwater30.backoffice.apis.key_access_mgmt"
"haii-thaiwater30.APIs"|"haii-thaiwater30.backoffice.apis.monitor"
"haii-thaiwater30.APIs"|"haii-thaiwater30.backoffice.apis.monitor_api_service"
"haii-thaiwater30.Data Integration"|"haii-thaiwater30.backoffice.data_integration.hi_script"
"haii-thaiwater30.Data Integration"|"haii-thaiwater30.backoffice.data_integration.hi_script_rain"
"haii-thaiwater30.Data Integration"|"haii-thaiwater30.backoffice.data_integration.mgmt_conv"
"haii-thaiwater30.Data Integration"|"haii-thaiwater30.backoffice.data_integration.mgmt_conv_rain"
"haii-thaiwater30.Data Integration"|"haii-thaiwater30.backoffice.data_integration.mgmt_metadata"
"haii-thaiwater30.Data Integration"|"haii-thaiwater30.backoffice.data_integration.mgmt_metadata_rain"
"haii-thaiwater30.Data Integration"|"haii-thaiwater30.backoffice.data_integration.mgmt_script"
"haii-thaiwater30.Data Integration"|"haii-thaiwater30.backoffice.data_integration.mgmt_script_rain"
"haii-thaiwater30.Data Integration Report"|"haii-thaiwater30.backoffice.dir.report_event"
"haii-thaiwater30.Data Integration Report"|"haii-thaiwater30.backoffice.dir.report_import"
"haii-thaiwater30.Data Integration Report"|"haii-thaiwater30.backoffice.dir.report_import_by_date"
"haii-thaiwater30.Data Integration Report"|"haii-thaiwater30.backoffice.dir.report_import_by_month"
"haii-thaiwater30.Data Integration Report"|"haii-thaiwater30.backoffice.dir.report_import_by_year"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dsr.data_service_summary"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dsr.data_service_to_agency"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dsr.data_service_upload_result"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.data_integration.mgmt_metadata_rain"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.data_integration.mgmt_script"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.data_integration.mgmt_script_rain"
"haii-thaiwater30.Data Service (BOF)"|"haii-thaiwater30.backoffice.dsr.data_service_approve"
"haii-thaiwater30.Data Service (BOF)"|"haii-thaiwater30.backoffice.dsr.data_service_management"
"haii-thaiwater30.Data Service (BOF)"|"haii-thaiwater30.backoffice.dsr.data_service_summary"
"haii-thaiwater30.Data Service (BOF)"|"haii-thaiwater30.backoffice.dsr.data_service_to_agency"
"haii-thaiwater30.Data Service (BOF)"|"haii-thaiwater30.backoffice.dsr.data_service_upload_result"
"haii-thaiwater30.Tools"|"haii-thaiwater30.backoffice.tools.check_image"
"haii-thaiwater30.Tools"|"haii-thaiwater30.backoffice.tools.ignore_data"
"haii-thaiwater30.Tools"|"haii-thaiwater30.backoffice.tools.mgmt_cache"
"haii-thaiwater30.Tools"|"haii-thaiwater30.backoffice.tools.mgmt_display"
"haii-thaiwater30.Tools"|"haii-thaiwater30.bof.tools"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.department"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.frequency"
"haii-thaiwater30.Admin"|"haii-thaiwater30.bof.uac"
"haii-thaiwater30.Admin"|"haii-thaiwater30.uac.group"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dir.report_event"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.dir.report_import"
"haii-thaiwater30.Admin"|"haii-thaiwater30.backoffice.metadata.method"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.agc.agency"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.agency.agency_shopping"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.agency.agency_summary"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.tools.check_image"
"haii-thaiwater30.Analyst Group"|"haii-thaiwater30.backoffice.tools.ignore_data"
"haii-thaiwater30.Agency System"|"haii-thaiwater30.agc.agency"
"haii-thaiwater30.Agency System"|"haii-thaiwater30.agency.agency_shopping"
"haii-thaiwater30.Agency System"|"haii-thaiwater30.agency.agency_summary"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.metadata.subcat"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.metadata.summary_meta"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.metadata.unit"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.tools.check_image"
"haii-thaiwater30.Agency Group"|"haii-thaiwater30.agc.agency"
"haii-thaiwater30.Agency Group"|"haii-thaiwater30.agency.agency_shopping"
"haii-thaiwater30.Agency Group"|"haii-thaiwater30.agency.agency_summary"
"haii-thaiwater30.Agency Group"|"haii-thaiwater30.data_service"
"haii-thaiwater30.Agency Group"|"haii-thaiwater30.data_service.history"
"haii-thaiwater30.Agency Group"|"haii-thaiwater30.backoffice.metadata.method"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.tools.ignore_data"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.tools.mgmt_cache"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.backoffice.tools.mgmt_display"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.uac"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.uac.group"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.uac.management_system"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.uac.user"
"haii-thaiwater30.Developer Group"|"haii-thaiwater30.uac.user_history"
